Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Chesapeake City Public Schools,Thurgood Marshall Elementary,Chronic Absenteeism,2018 - 2019,68,456,14.91
2019,Chesapeake City Public Schools,Truitt Intermediate,Chronic Absenteeism,2018 - 2019,39,295,13.22
2019,Chesapeake City Public Schools,Western Branch High,Chronic Absenteeism,2018 - 2019,142,2108,6.74
2019,Chesapeake City Public Schools,Western Branch Intermediate,Chronic Absenteeism,2018 - 2019,42,784,5.36
2019,Chesapeake City Public Schools,Western Branch Middle,Chronic Absenteeism,2018 - 2019,52,905,5.75
2019,Chesapeake City Public Schools,Western Branch Primary,Chronic Absenteeism,2018 - 2019,61,709,8.6
2019,Chesterfield County Public Schools,A.M. Davis Elementary,Chronic Absenteeism,2018 - 2019,54,660,8.18
2019,Chesterfield County Public Schools,Alberta Smith Elementary,Chronic Absenteeism,2018 - 2019,32,586,5.46
2019,Chesterfield County Public Schools,Bailey Bridge Middle,Chronic Absenteeism,2018 - 2019,153,1541,9.93
2019,Chesterfield County Public Schools,Bellwood Elementary,Chronic Absenteeism,2018 - 2019,63,521,12.09
2019,Chesterfield County Public Schools,Bensley Elementary,Chronic Absenteeism,2018 - 2019,74,563,13.14
2019,Chesterfield County Public Schools,Bettie Weaver Elementary,Chronic Absenteeism,2018 - 2019,15,675,2.22
2019,Chesterfield County Public Schools,Beulah Elementary,Chronic Absenteeism,2018 - 2019,73,816,8.95
2019,Chesterfield County Public Schools,Bon Air Elementary,Chronic Absenteeism,2018 - 2019,46,627,7.34
2019,Chesterfield County Public Schools,C.C. Wells Elementary,Chronic Absenteeism,2018 - 2019,44,661,6.66
2019,Chesterfield County Public Schools,C.E. Curtis Elementary,Chronic Absenteeism,2018 - 2019,78,740,10.54
2019,Chesterfield County Public Schools,Carver College and Career Academy,Chronic Absenteeism,2018 - 2019,64,258,24.81
2019,Chesterfield County Public Schools,Carver Middle,Chronic Absenteeism,2018 - 2019,182,1014,17.95
2019,Chesterfield County Public Schools,Clover Hill Elementary,Chronic Absenteeism,2018 - 2019,38,727,5.23
2019,Chesterfield County Public Schools,Clover Hill High,Chronic Absenteeism,2018 - 2019,193,1782,10.83
2019,Chesterfield County Public Schools,Cosby High,Chronic Absenteeism,2018 - 2019,103,2207,4.67
2019,Chesterfield County Public Schools,Crestwood Elementary,Chronic Absenteeism,2018 - 2019,41,567,7.23
2019,Chesterfield County Public Schools,Ecoff Elementary,Chronic Absenteeism,2018 - 2019,49,673,7.28
2019,Chesterfield County Public Schools,Elizabeth Davis Middle,Chronic Absenteeism,2018 - 2019,163,1239,13.16
2019,Chesterfield County Public Schools,Elizabeth Scott Elementary,Chronic Absenteeism,2018 - 2019,47,964,4.88
2019,Chesterfield County Public Schools,Enon Elementary,Chronic Absenteeism,2018 - 2019,54,525,10.29
2019,Chesterfield County Public Schools,Ettrick Elementary,Chronic Absenteeism,2018 - 2019,93,522,17.82
2019,Chesterfield County Public Schools,Evergreen Elementary,Chronic Absenteeism,2018 - 2019,71,1028,6.91
2019,Chesterfield County Public Schools,Falling Creek Elementary,Chronic Absenteeism,2018 - 2019,103,790,13.04
2019,Chesterfield County Public Schools,Falling Creek Middle,Chronic Absenteeism,2018 - 2019,276,1402,19.69
2019,Chesterfield County Public Schools,Grange Hall Elementary,Chronic Absenteeism,2018 - 2019,36,857,4.2
2019,Chesterfield County Public Schools,Greenfield Elementary,Chronic Absenteeism,2018 - 2019,17,573,2.97
2019,Chesterfield County Public Schools,Harrowgate Elementary,Chronic Absenteeism,2018 - 2019,40,509,7.86
2019,Chesterfield County Public Schools,Hopkins Road Elementary,Chronic Absenteeism,2018 - 2019,40,679,5.89
2019,Chesterfield County Public Schools,J.A. Chalkley Elementary,Chronic Absenteeism,2018 - 2019,87,771,11.28
2019,Chesterfield County Public Schools,J.B. Watkins Elementary,Chronic Absenteeism,2018 - 2019,26,1218,2.13
2019,Chesterfield County Public Schools,J.G. Hening Elementary,Chronic Absenteeism,2018 - 2019,51,844,6.04
2019,Chesterfield County Public Schools,Jacobs Road Elementary,Chronic Absenteeism,2018 - 2019,55,721,7.63
2019,Chesterfield County Public Schools,James River High,Chronic Absenteeism,2018 - 2019,258,1958,13.18
2019,Chesterfield County Public Schools,Lloyd C. Bird High,Chronic Absenteeism,2018 - 2019,297,1797,16.53
2019,Chesterfield County Public Schools,Manchester High,Chronic Absenteeism,2018 - 2019,225,2067,10.89
2019,Chesterfield County Public Schools,Manchester Middle,Chronic Absenteeism,2018 - 2019,124,1190,10.42
2019,Chesterfield County Public Schools,Marguerite F. Christian Elementary,Chronic Absenteeism,2018 - 2019,90,698,12.89
2019,Chesterfield County Public Schools,Matoaca Elementary,Chronic Absenteeism,2018 - 2019,30,389,7.71
2019,Chesterfield County Public Schools,Matoaca High,Chronic Absenteeism,2018 - 2019,256,1600,16
2019,Chesterfield County Public Schools,Matoaca Middle,Chronic Absenteeism,2018 - 2019,143,955,14.97
2019,Chesterfield County Public Schools,Meadowbrook High,Chronic Absenteeism,2018 - 2019,605,1764,34.3
2019,Chesterfield County Public Schools,Midlothian High,Chronic Absenteeism,2018 - 2019,95,1773,5.36
2019,Chesterfield County Public Schools,Midlothian Middle,Chronic Absenteeism,2018 - 2019,64,1306,4.9
2019,Chesterfield County Public Schools,Monacan High,Chronic Absenteeism,2018 - 2019,192,1484,12.94
2019,Chesterfield County Public Schools,O.B. Gates Elementary,Chronic Absenteeism,2018 - 2019,43,679,6.33
2019,Chesterfield County Public Schools,Providence Elementary,Chronic Absenteeism,2018 - 2019,66,609,10.84
2019,Chesterfield County Public Schools,Providence Middle,Chronic Absenteeism,2018 - 2019,164,1074,15.27
2019,Chesterfield County Public Schools,Reams Road Elementary,Chronic Absenteeism,2018 - 2019,40,505,7.92
2019,Chesterfield County Public Schools,Robious Elementary,Chronic Absenteeism,2018 - 2019,13,641,2.03
2019,Chesterfield County Public Schools,Robious Middle,Chronic Absenteeism,2018 - 2019,106,1253,8.46
2019,Chesterfield County Public Schools,Salem Church Elementary,Chronic Absenteeism,2018 - 2019,62,593,10.46
2019,Chesterfield County Public Schools,Salem Church Middle,Chronic Absenteeism,2018 - 2019,143,915,15.63
2019,Chesterfield County Public Schools,Spring Run Elementary,Chronic Absenteeism,2018 - 2019,56,920,6.09
2019,Chesterfield County Public Schools,Swift Creek Elementary,Chronic Absenteeism,2018 - 2019,42,861,4.88
2019,Chesterfield County Public Schools,Swift Creek Middle,Chronic Absenteeism,2018 - 2019,85,1010,8.42
2019,Chesterfield County Public Schools,Thelma Crenshaw Elementary,Chronic Absenteeism,2018 - 2019,63,632,9.97
2019,Chesterfield County Public Schools,Thomas Dale High,Chronic Absenteeism,2018 - 2019,297,2350,12.64
2019,Chesterfield County Public Schools,Tomahawk Creek Middle,Chronic Absenteeism,2018 - 2019,102,1546,6.6
2019,Chesterfield County Public Schools,W.W. Gordon Elementary,Chronic Absenteeism,2018 - 2019,31,610,5.08
2019,Chesterfield County Public Schools,Winterpock Elementary,Chronic Absenteeism,2018 - 2019,24,1165,2.06
2019,Chesterfield County Public Schools,Woolridge Elementary,Chronic Absenteeism,2018 - 2019,25,829,3.02
2019,Clarke County Public Schools,Boyce Elementary,Chronic Absenteeism,2018 - 2019,31,273,11.36
2019,Clarke County Public Schools,Clarke County High,Chronic Absenteeism,2018 - 2019,124,674,18.4
2019,Clarke County Public Schools,D.G. Cooley Elementary,Chronic Absenteeism,2018 - 2019,43,488,8.81
2019,Clarke County Public Schools,Johnson-Williams Middle,Chronic Absenteeism,2018 - 2019,46,469,9.81
2019,Colonial Beach Public Schools,Colonial Beach Elementary,Chronic Absenteeism,2018 - 2019,17,406,4.19
2019,Colonial Beach Public Schools,Colonial Beach High,Chronic Absenteeism,2018 - 2019,49,222,22.07
2019,Colonial Heights City Public Schools,Colonial Heights High,Chronic Absenteeism,2018 - 2019,154,852,18.08
2019,Colonial Heights City Public Schools,Colonial Heights Middle,Chronic Absenteeism,2018 - 2019,84,621,13.53
2019,Colonial Heights City Public Schools,Lakeview Elementary,Chronic Absenteeism,2018 - 2019,40,375,10.67
2019,Colonial Heights City Public Schools,North Elementary,Chronic Absenteeism,2018 - 2019,24,344,6.98
2019,Colonial Heights City Public Schools,Tussing Elementary,Chronic Absenteeism,2018 - 2019,66,584,11.3
2019,Covington City Public Schools,Covington High,Chronic Absenteeism,2018 - 2019,91,365,24.93
2019,Covington City Public Schools,Edgemont Primary,Chronic Absenteeism,2018 - 2019,74,345,21.45
2019,Covington City Public Schools,Jeter-Watson Intermediate,Chronic Absenteeism,2018 - 2019,72,306,23.53
2019,Craig County Public Schools,Craig County High,Chronic Absenteeism,2018 - 2019,41,346,11.85
2019,Craig County Public Schools,McCleary Elementary,Chronic Absenteeism,2018 - 2019,17,248,6.85
2019,Culpeper County Public Schools,A.G. Richardson Elementary,Chronic Absenteeism,2018 - 2019,33,553,5.97
2019,Culpeper County Public Schools,Culpeper County High,Chronic Absenteeism,2018 - 2019,138,1138,12.13
2019,Culpeper County Public Schools,Culpeper Middle,Chronic Absenteeism,2018 - 2019,106,1095,9.68
2019,Culpeper County Public Schools,Eastern View High,Chronic Absenteeism,2018 - 2019,233,1317,17.69
2019,Culpeper County Public Schools,Emerald Hill Elementary,Chronic Absenteeism,2018 - 2019,34,671,5.07
2019,Culpeper County Public Schools,Farmington Elementary,Chronic Absenteeism,2018 - 2019,47,616,7.63
2019,Culpeper County Public Schools,Floyd T. Binns Middle,Chronic Absenteeism,2018 - 2019,89,820,10.85
2019,Culpeper County Public Schools,Pearl Sample Elementary,Chronic Absenteeism,2018 - 2019,44,485,9.07
2019,Culpeper County Public Schools,Sycamore Park Elementary,Chronic Absenteeism,2018 - 2019,34,599,5.68
2019,Culpeper County Public Schools,Yowell Elementary,Chronic Absenteeism,2018 - 2019,44,703,6.26
2019,Cumberland County Public Schools,Cumberland Elementary,Chronic Absenteeism,2018 - 2019,52,450,11.56
2019,Cumberland County Public Schools,Cumberland High,Chronic Absenteeism,2018 - 2019,65,413,15.74
2019,Cumberland County Public Schools,Cumberland Middle,Chronic Absenteeism,2018 - 2019,52,396,13.13
2019,Danville City Public Schools,Edwin A. Gibson Elementary,Chronic Absenteeism,2018 - 2019,118,578,20.42
2019,Danville City Public Schools,Forest Hills Elementary,Chronic Absenteeism,2018 - 2019,12,244,4.92
2019,Danville City Public Schools,G.L.H. Johnson Elementary,Chronic Absenteeism,2018 - 2019,58,336,17.26
2019,Danville City Public Schools,Galileo Magnet High,Chronic Absenteeism,2018 - 2019,28,286,9.79
2019,Danville City Public Schools,George Washington High,Chronic Absenteeism,2018 - 2019,219,1208,18.13
2019,Danville City Public Schools,O. Trent Bonner Middle,Chronic Absenteeism,2018 - 2019,162,642,25.23
2019,Danville City Public Schools,Park Avenue Elementary,Chronic Absenteeism,2018 - 2019,89,450,19.78
2019,Danville City Public Schools,Schoolfield Elementary,Chronic Absenteeism,2018 - 2019,92,510,18.04
2019,Danville City Public Schools,Westwood Middle,Chronic Absenteeism,2018 - 2019,117,577,20.28
2019,Danville City Public Schools,Woodberry Hills Elementary,Chronic Absenteeism,2018 - 2019,50,236,21.19
2019,Danville City Public Schools,Woodrow Wilson Intermediate,Chronic Absenteeism,2018 - 2019,70,298,23.49
2019,Dickenson County Public Schools,Clintwood Elementary,Chronic Absenteeism,2018 - 2019,51,415,12.29
2019,Dickenson County Public Schools,Ervinton Elementary,Chronic Absenteeism,2018 - 2019,25,111,22.52
2019,Dickenson County Public Schools,Ridgeview High,Chronic Absenteeism,2018 - 2019,141,567,24.87
2019,Dickenson County Public Schools,Ridgeview Middle,Chronic Absenteeism,2018 - 2019,97,461,21.04
2019,Dickenson County Public Schools,Sandlick Elementary,Chronic Absenteeism,2018 - 2019,64,381,16.8
2019,Dinwiddie County Public Schools,Dinwiddie County High,Chronic Absenteeism,2018 - 2019,226,1334,16.94
2019,Dinwiddie County Public Schools,Dinwiddie County Middle,Chronic Absenteeism,2018 - 2019,124,991,12.51
2019,Dinwiddie County Public Schools,Dinwiddie Elementary,Chronic Absenteeism,2018 - 2019,51,336,15.18
2019,Dinwiddie County Public Schools,Midway Elementary,Chronic Absenteeism,2018 - 2019,49,401,12.22
2019,Dinwiddie County Public Schools,Southside Elementary,Chronic Absenteeism,2018 - 2019,72,445,16.18
2019,Dinwiddie County Public Schools,Sunnyside Elementary,Chronic Absenteeism,2018 - 2019,30,270,11.11
2019,Dinwiddie County Public Schools,Sutherland Elementary,Chronic Absenteeism,2018 - 2019,53,546,9.71
2019,Essex County Public Schools,Essex High,Chronic Absenteeism,2018 - 2019,64,515,12.43
2019,Essex County Public Schools,Essex Intermediate,Chronic Absenteeism,2018 - 2019,45,394,11.42
2019,Essex County Public Schools,Tappahannock Elementary,Chronic Absenteeism,2018 - 2019,41,353,11.61
2019,Fairfax County Public Schools,Aldrin Elementary,Chronic Absenteeism,2018 - 2019,35,623,5.62
2019,Fairfax County Public Schools,Annandale High,Chronic Absenteeism,2018 - 2019,377,2214,17.03
2019,Fairfax County Public Schools,Annandale Terrace Elementary,Chronic Absenteeism,2018 - 2019,61,579,10.54
2019,Fairfax County Public Schools,Archer Elementary,Chronic Absenteeism,2018 - 2019,19,648,2.93
2019,Fairfax County Public Schools,Armstrong Elementary,Chronic Absenteeism,2018 - 2019,43,431,9.98
2019,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,Chronic Absenteeism,2018 - 2019,54,661,8.17
2019,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,Chronic Absenteeism,2018 - 2019,30,543,5.52
2019,Fairfax County Public Schools,Beech Tree Elementary,Chronic Absenteeism,2018 - 2019,24,354,6.78
2019,Fairfax County Public Schools,Belle View Elementary,Chronic Absenteeism,2018 - 2019,30,498,6.02
2019,Fairfax County Public Schools,Belvedere Elementary,Chronic Absenteeism,2018 - 2019,29,599,4.84
2019,Fairfax County Public Schools,Bonnie Brae Elementary,Chronic Absenteeism,2018 - 2019,38,771,4.93
2019,Fairfax County Public Schools,Braddock Elementary,Chronic Absenteeism,2018 - 2019,98,808,12.13
2019,Fairfax County Public Schools,Bren Mar Park Elementary,Chronic Absenteeism,2018 - 2019,41,489,8.38
2019,Fairfax County Public Schools,Brookfield Elementary,Chronic Absenteeism,2018 - 2019,69,821,8.4
2019,Fairfax County Public Schools,Bryant High,Chronic Absenteeism,2018 - 2019,187,288,64.93
2019,Fairfax County Public Schools,Bucknell Elementary,Chronic Absenteeism,2018 - 2019,15,218,6.88
2019,Fairfax County Public Schools,Bull Run Elementary,Chronic Absenteeism,2018 - 2019,56,816,6.86
2019,Fairfax County Public Schools,Bush Hill Elementary,Chronic Absenteeism,2018 - 2019,31,525,5.9
2019,Fairfax County Public Schools,Camelot Elementary,Chronic Absenteeism,2018 - 2019,40,589,6.79
2019,Fairfax County Public Schools,Cameron Elementary,Chronic Absenteeism,2018 - 2019,31,493,6.29
2019,Fairfax County Public Schools,Canterbury Woods Elementary,Chronic Absenteeism,2018 - 2019,16,786,2.04
2019,Fairfax County Public Schools,Cardinal Forest Elementary,Chronic Absenteeism,2018 - 2019,42,563,7.46
2019,Fairfax County Public Schools,Carson Middle,Chronic Absenteeism,2018 - 2019,64,1498,4.27
2019,Fairfax County Public Schools,Centre Ridge Elementary,Chronic Absenteeism,2018 - 2019,74,736,10.05
2019,Fairfax County Public Schools,Centreville Elementary,Chronic Absenteeism,2018 - 2019,54,836,6.46
2019,Fairfax County Public Schools,Centreville High,Chronic Absenteeism,2018 - 2019,300,2596,11.56
2019,Fairfax County Public Schools,Chantilly High,Chronic Absenteeism,2018 - 2019,260,2844,9.14
2019,Fairfax County Public Schools,Cherry Run Elementary,Chronic Absenteeism,2018 - 2019,11,423,2.6
2019,Fairfax County Public Schools,Chesterbrook Elementary,Chronic Absenteeism,2018 - 2019,28,691,4.05
2019,Fairfax County Public Schools,Churchill Road Elementary,Chronic Absenteeism,2018 - 2019,35,765,4.58
2019,Fairfax County Public Schools,Clearview Elementary,Chronic Absenteeism,2018 - 2019,47,635,7.4
2019,Fairfax County Public Schools,Clermont Elementary,Chronic Absenteeism,2018 - 2019,21,619,3.39
2019,Fairfax County Public Schools,Coates Elementary,Chronic Absenteeism,2018 - 2019,60,703,8.53
2019,Fairfax County Public Schools,Columbia Elementary,Chronic Absenteeism,2018 - 2019,29,474,6.12
2019,Fairfax County Public Schools,Colvin Run Elementary,Chronic Absenteeism,2018 - 2019,32,734,4.36
2019,Fairfax County Public Schools,Cooper Middle,Chronic Absenteeism,2018 - 2019,61,1025,5.95
2019,Fairfax County Public Schools,Crestwood Elementary,Chronic Absenteeism,2018 - 2019,47,559,8.41
2019,Fairfax County Public Schools,Crossfield Elementary,Chronic Absenteeism,2018 - 2019,31,607,5.11
2019,Fairfax County Public Schools,Cub Run Elementary,Chronic Absenteeism,2018 - 2019,19,553,3.44
2019,Fairfax County Public Schools,Cunningham Park Elementary,Chronic Absenteeism,2018 - 2019,33,456,7.24
2019,Fairfax County Public Schools,Daniels Run Elementary,Chronic Absenteeism,2018 - 2019,53,692,7.66
2019,Fairfax County Public Schools,Deer Park Elementary,Chronic Absenteeism,2018 - 2019,53,555,9.55
2019,Fairfax County Public Schools,Dogwood Elementary,Chronic Absenteeism,2018 - 2019,60,648,9.26
2019,Fairfax County Public Schools,Dranesville Elementary,Chronic Absenteeism,2018 - 2019,60,692,8.67
2019,Fairfax County Public Schools,Eagle View Elementary,Chronic Absenteeism,2018 - 2019,33,614,5.37
